name;energy;fat;carb;protein;alcohol;iron;salt;vitaminc
4-Grain Flakes;1404;3.4;58.8;11.1;0;4.1;12.7;0
Almond;2517;51.2;6.6;24.1;0;5.2;2.5;0.5
Almond Drink, Sweetened, Alrpo;100;1.0;3.0;0.5;0;0.1;127.0;0.1
Almond Drink, Unsweetened, Alrpo;50;1.0;0.1;0.5;0;0.1;127.1;0.1
Amaranth Flakes;1545;7.0;59.0;13.6;0;1.8;89.2;2.5
Anchovy;1076;11.4;9.6;28.9;0;2.1;10548.7;0
Apple, Domestic, Without Skin;170;0.1;8.3;0.2;0;0.1;2.3;8.0
Apple, Domestic, With Skin;148;0.1;7.2;0.2;0;0.1;2.0;7.0
Apple, Dried;1157;0.3;60.2;1.0;0;1.1;15.5;3.9
Apple, Imported, Without Skin;187;0.1;9.4;0.2;0;0.1;2.3;4.0
Apple, Imported, With Skin;163;0.1;8.2;0.2;0;0.1;2.0;3.5
Apple Chips;1354;0.8;68.0;1.0;0;1.1;0;4.8
Apple Crisp Delight, Apple, Oat Flakes;650;7.2;19.7;1.7;0;0.6;110.6;4.1
Apple Jam;724;0.1;42.0;0.1;0;0.1;1.4;2.1
Apple Juice, Unsweetened, Vitamin C;209;0.5;10.7;0.2;0;0.1;9.2;30.0
Apple Kissel, Apple Soup, Dried Apples;258;0.1;14.2;0.1;0;0.2;4.4;0.3
Apple Kissel, Apple Soup, Fresh Apples;141;0.1;7.7;0.1;0;0.1;2.7;2.3
Apple Pie, Basic Sweet Dough;1028;4.7;43.0;6.1;0;0.5;214.5;1.8
Apple Pie, Shortbread Crust, Contains Wheat Starch;947;9.0;33.2;1.9;0;0.2;313.0;2.1
Apple Pie, Shortbread Crust;910;9.1;30.1;1.9;0;0.4;277.0;1.9
Apple Pie, Shortbread Crust With Sour Milk;1323;11.5;47.7;4.0;0;0.3;518.2;1.0
Apple Pie, Soft, Low-Fat Milk;940;7.9;33.2;4.3;0;0.5;234.1;2.3
Apple Pie With Quark Filling, Shortbread Crust;788;9.4;20.9;4.3;0;0.3;177.4;2.9
Apple Rice Porridge, Water, Sugar;459;0.1;25.8;0.6;0;0.2;4.3;0.1
Applesauce, Sweetened;555;0.1;31.6;0.1;0;0.1;1.6;3.9
Applesauce, Unsweetened;188;0.1;9.5;0.2;0;0.1;2.3;9.0
Apricot, Canned, In Syrup;307;0.1;16.0;1.0;0;0.4;18.4;4.0
Apricot, Dried;923;0.5;43.4;5.2;0;1.4;42.5;1.0
Apricot Kissel, Apricot Soup;296;0.1;16.1;0.6;0;0.2;7.2;0.1
Apricot Rice Porridge, Water, Sugar;349;0.1;18.8;1.0;0;0.2;6.9;0.1
Aroma Rye Malt;1525;1.4;71.0;10.7;0;0;6.4;0
Aromatic Salt, 71% Salt Content;312;1.3;11.7;1.8;0;5.3;71000.0;2.2
Artichoke;126;0.1;1.3;3.3;0;1.3;239.5;11.7
Artichoke, Boiled;149;0.2;1.5;3.9;0;1.5;281.8;8.9
Asparagus, Boiled Without Salt;135;0.6;2.0;2.9;0;0.7;2.5;7.8
Asparagus, Canned;64;0.2;1.2;1.2;0;0.3;1146.6;33.0
Asparagus, Raw, Cleaned;135;0.6;2.0;2.9;0;0.7;2.5;12.0
Asparagus Soup, Canned Asparagus;310;6.1;2.8;1.6;0;0.3;1199.8;3.7
Asparagus Soup, White Wine, Cream;218;3.3;2.8;1.3;0.2;0.3;705.6;2.7
Asparagus With Melted Butter;194;2.2;2.0;2.9;0;0.7;32.7;7.6
Aubergine;94;0.2;3.1;0.5;0;0.3;5.1;5.0
Aubergine, Fried;783;19.3;2.5;0.4;0;0.2;202.9;2.4
Aubergine Filled With Mushrooms;151;1.2;3.1;1.8;0;0.6;309.4;21.1
Aubergine Filled With Tomato And Cheese;367;5.6;3.7;4.5;0;0.3;551.5;5.0
Avocado, Without Skin And Stone;829;19.4;0.8;2.6;0;0.5;15.3;10.2
Avocado Pasta;686;10.8;11.1;4.7;0;1.0;649.6;7.1
Avocado Quesadilla;782;9.2;18.3;6.1;0;0.5;780.5;4.7
Avocado Sauce;894;20.9;0.7;4.2;0;0.5;592.8;12.2
Avocado Sauce, Guacamole;665;15.0;1.5;2.2;0;0.5;407.5;11.5
Avocado Sauce, Guacamole, Industrial;374;5.9;6.8;1.5;0;0.4;1512.7;11.8
Avocado  With Skin And Stone;589;13.8;0.5;1.9;0;0.4;10.9;7.2
Bacon, Fillet, 18% Fat;946;18.0;0.5;16.0;0;0.6;2548.0;0
Bacon, Fillet, 18% Fat, Fried;1262;24.0;0.7;21.3;0;0.7;3397.3;0
Bagel;1069;4.3;45.1;7.3;0;0.6;777.3;0.1
Bagel, Butter Bagel;1263;12.0;40.5;6.7;0;0.6;884.6;0
Bagel, Sweet, Low-Fat Milk;1509;14.3;48.8;7.9;0;0.8;1765.1;0.1
Baked Apple;288;1.5;12.3;0.2;0;0.2;14.6;5.8
Baked Banana;735;3.5;33.6;1.1;0;0.9;31.1;6.1
Baked Minced Meat And Nachos;968;15.5;11.5;11.1;0;0.7;1210.0;9.9
Baking Powder;735;0;37.8;5.2;0;0;30066.4;0
Baking Yeast, Fresh;312;0.4;1.1;13.1;0;2.1;11.2;0
Baltic Herring, Breaded, Fried;810;12.0;3.8;17.2;0;1.4;848.7;0.1
Baltic Herring In Tomato Sauce;515;7.3;1.2;12.7;0;0.9;906.0;1.8
Baltic Herring Jelly;308;3.3;0.4;10.0;0;0.6;633.3;0.1
Baltic Herring With Cream Cheese;637;9.7;0.4;15.6;0;1.2;931.2;2.8
Bamboo Shoots, Canned;56;0.2;0.7;1.5;0;0.4;10.2;0
Banana, Deep-Fried;838;10.8;21.3;3.5;0;0.9;470.9;3.9
Banana, Without Skin;366;0.4;18.3;1.2;0;1.0;12.7;10.0
Banana, With Skin;246;0.3;12.3;0.8;0;0.7;8.5;6.7
Banana Cake;1429;19.1;36.9;4.8;0;0.8;505.0;2.1
Banana Chip;2149;29.0;59.9;2.0;0;0.9;14.6;8.6
Banana Chips Coated With Yoghurt;2225;32.7;50.9;7.9;0;0.6;577.5;6.0
Banana Egg Pancake;893;16.6;9.3;6.6;0;1.3;140.8;3.0
Banana Milkshake, Low-Fat Milk, Ice Cream;262;2.1;7.8;2.8;0;0.2;91.0;2.5
Barbeque Sauce;2393;62.2;2.8;1.0;0;1.1;1678.4;0.2
Barbeque Sausage, Boiled;960;17.3;8.4;10.4;0;1.3;1854.6;0
Barbeque Sausage, Cheese;977;15.9;8.6;10.0;0;0.7;1923.3;0
Barbeque Sausage, Grilled;1033;18.6;9.0;11.2;0;1.4;1994.2;0
Barbeque Sausage, Meaty, Grilled;1130;23.7;0.8;14.1;0;1.0;2150.7;0
Barbeque Sausage, Meaty, Oven Baked;1130;23.7;0.8;14.1;0;1.0;2150.7;0
Barbeque Sausage With Cheese, Grilled;1050;17.1;9.2;10.8;0;0.7;2068.1;0
Barley, Pearl;1349;2.0;63.1;8.2;0;3.0;6.1;0
Barley, Pearl, Boiled With Salt;331;0.5;15.5;2.0;0;0.7;580.5;0
Barley, Rolled, Barley Flakes;1383;2.0;64.5;8.2;0;3.2;12.7;0
Barley Gruel, Barley Flour, Milk, Salt;261;1.7;7.9;3.5;0;0.3;631.7;1.2
Barley Gruel, Pearl Barley, Milk, Salt;286;1.7;9.1;3.6;0;0.3;617.0;1.1
Barley Gruel, Sour Milk, Cream, Barley Flour, Salt;376;4.1;9.1;3.3;0;0.4;446.6;0.9
Barley Starch;1409;0.2;81.6;0.1;0;0.6;9.4;0
Basic Plain Sponge Cake;1257;7.7;48.4;8.5;0;1.1;622.9;0.2
Basil, Dried;1004;3.8;10.1;23.0;0;89.8;193.7;0.8
Basil, Fresh;108;0.7;1.1;3.1;0;5.5;22.9;26.0
Bbq-Sauce For Meat, Home-Made;497;6.6;12.3;1.5;0;1.2;3159.9;3.7
Bean, Adzuki Bean, Dried;1222;0.5;45.7;19.9;0;4.2;12.7;0
Bean, Broad Bean, Fava Bean, Boiled With Salt;427;0.4;14.1;7.6;0;1.5;601.3;0.3
Bean, Green Bean, String Bean;149;0.3;4.8;2.0;0;0.7;5.1;20.0
Bean, Green Bean, String Bean, Boiled;159;0.3;5.1;2.2;0;0.7;5.4;13.8
Bean, Green Bean, String Bean, Boiled Without Salt;169;0.3;5.4;2.3;0;0.8;5.8;14.8
Bean, Kidney Bean, Boiled;484;0.5;15.3;8.6;0;2.9;593.7;1.2
Bean, Mung Bean, Boiled, With Salt;441;0.4;14.9;7.7;0;1.7;591.1;1.0
Bean, White Bean, Boiled;465;0.8;14.0;8.3;0;1.9;12.7;0
Bean, White Bean, In Tomato Sauce;427;0.7;16.2;5.1;0;1.3;1121.1;3.0
Bean, White Bean, Navy Bean;1203;1.9;37.3;22.1;0;6.1;12.7;0
Bean And Zucchini Soup;206;2.8;3.4;1.8;0;0.5;976.0;2.4
Bean Patty;999;7.1;26.7;11.7;0;2.9;1203.1;4.5
Bean Quinoa Patty, Fried;945;13.1;15.6;8.8;0;2.3;1006.0;1.0
Bean Soup, Tomato;194;1.0;5.8;2.1;0;0.6;724.1;4.7
Bean Stew;613;3.3;15.5;9.2;0;2.2;749.7;7.0
Bean Stew, Milk, Fresh Beans;300;2.4;8.3;2.9;0;0.6;424.3;10.9
Bean Stew, Water, Dried Beans;845;3.9;24.9;11.2;0;2.6;374.3;0.1
Bean Vegetable Gravy With Tomato;315;2.3;8.8;3.5;0;0.8;593.8;22.1
Beef, Canned;644;7.2;4.0;18.2;0;2.9;1528.8;0
Beef, Raw, Marinated In Salt;703;8.5;2.2;20.7;0;1.9;2759.6;0
Beef And Potato Casserole, Bouillon;368;2.3;7.8;8.3;0;1.4;761.4;3.4
Beef And Tofu Noodle Wok, Wok-Vegetables;593;6.7;11.9;7.5;0;2.2;599.3;17.2
Beef Chop, Breaded, Fried;903;11.1;5.6;23.3;0;2.4;1375.0;0.1
Beef Fricassee;325;1.9;2.9;11.9;0;1.2;347.9;0.4
Beef Gravy;437;6.1;3.0;9.2;0;1.2;720.4;0.6
Beef Gravy, Vegetables, Cooking Cream;659;12.2;2.1;9.1;0;1.2;666.6;8.9
Beef In Dill Gravy;399;2.5;4.2;13.7;0;1.4;943.3;0
Beef Jelly, Home-Made;337;3.3;0.5;12.1;0;1.2;470.0;0.5
Beef Mince Gravy;617;10.8;2.1;10.5;0;1.0;583.3;0.5
Beef Mince Soup;252;3.0;4.0;3.9;0;0.6;454.5;3.7
Beef Mince Soup, Saarioinen;161;0.9;4.8;2.3;0;0.4;716.2;3.6
Beef Schnitzel, Breaded, Fried;932;10.1;10.8;21.8;0;3.0;881.7;0.1
Beef Sirloin Steak, Fried;719;6.6;0.1;28.0;0;2.5;433.5;0.1
Beef Sirloin Steak, Grilled;1159;18.4;0.3;27.7;0;2.8;1275.7;0.1
Beef Steak, Fried;834;9.3;0.1;28.9;0;4.2;1338.2;0.1
Beef Steak, Fried In Butter;755;8.9;0.1;25.0;0;3.6;1357.5;0
Beef Steak Mince Gravy;459;6.3;2.1;11.1;0;1.7;545.8;0.5
Beef Steak Mince Soup;225;2.0;3.9;4.6;0;0.8;469.3;3.7
Beef Steak Mince Soup, Lentils;414;3.3;7.6;9.1;0;2.1;623.2;4.5
Beef Steak Stew, Cooking Cream;490;5.9;2.6;13.1;0;1.9;559.1;0.4
Beef Steak Stew, Goulash;296;2.6;1.1;10.4;0;1.6;518.7;17.5
Beef Strips, Marinated;795;14.4;1.4;14.1;0;2.0;1054.5;0
Beef Tenderloin, Fried;819;10.4;0.1;25.6;0;3.0;414.8;0.1
Beef Tenderloin, Grilled;1257;22.2;0.3;25.3;0;3.2;1257.3;0.1
Beef-Vegetable Wok;363;3.9;2.9;9.3;0;1.3;532.1;25.4
Beef With Red Wine Sauce;513;4.8;2.3;14.8;0.6;1.7;613.9;2.6
Beer, Alcohol-Free, 0.0% Volume;55;0;2.9;0.3;0;0.1;5.3;0
Beer, Lager, Medium Strength, 4.5% Volume;178;0;4.1;0.4;3.5;0.1;8.4;0
Beer, Lager, Strong, 5-5.5% Volume;169;0;2.4;0.5;4.1;0.1;5.1;0
Beer, Lager, Very Mild 2.8% Volume;81;0;1.0;0.3;2.0;0.1;5.3;0
